Turn,SubStep,EventType,Player,OtherPlayer,Value1,Value2,Detail
107,0,UnitProduced,4,255,1,0,Unit produced
108,0,TechResearched,1,255,13,0,Tech completed
108,1,CityFounded,1,255,5,0,New city
108,2,UnitProduced,2,255,1,0,Unit produced
111,0,TechResearched,4,255,13,0,Tech completed
111,1,UnitProduced,7,255,1,0,Unit produced
112,0,UnitProduced,2,255,1,0,Unit produced
112,1,UnitProduced,3,255,1,0,Unit produced
114,0,UnitProduced,1,255,1,0,Unit produced
115,0,TechResearched,0,255,13,0,Tech completed
117,0,TechResearched,3,255,13,0,Tech completed
119,0,PlayersMet,1,5,0,0,First contact
120,0,TechResearched,1,255,14,0,Tech completed
120,1,UnitProduced,3,255,1,0,Unit produced
120,2,TechResearched,7,255,13,0,Tech completed
122,0,UnitKilled,5,255,1,0,Unit lost
123,0,TechResearched,2,255,14,0,Tech completed
123,1,TechResearched,5,255,13,0,Tech completed
124,0,UnitProduced,5,255,1,0,Unit produced
127,0,CityFounded,3,255,4,0,New city
127,1,CityFounded,6,255,3,0,New city
128,0,UnitKilled,5,255,1,0,Unit lost
129,0,UnitProduced,6,255,1,0,Unit produced
130,0,TechResearched,6,255,13,0,Tech completed
132,0,TechResearched,1,255,15,0,Tech completed
132,1,CityFounded,3,255,5,0,New city
133,0,UnitProduced,2,255,1,0,Unit produced
133,1,TechResearched,3,255,14,0,Tech completed
134,0,TechResearched,0,255,14,0,Tech completed
135,0,UnitProduced,7,255,2,0,Unit produced
136,0,UnitProduced,1,255,1,0,Unit produced
136,1,TechResearched,2,255,15,0,Tech completed
137,0,TechResearched,4,255,14,0,Tech completed
139,0,UnitProduced,7,255,1,0,Unit produced
141,0,TechResearched,5,255,14,0,Tech completed
141,1,UnitProduced,7,255,1,0,Unit produced
144,0,UnitProduced,1,255,1,0,Unit produced
144,1,UnitProduced,2,255,1,0,Unit produced
144,2,TechResearched,7,255,14,0,Tech completed
146,0,UnitProduced,0,255,1,0,Unit produced
147,0,TechResearched,1,255,16,0,Tech completed
147,1,TechResearched,3,255,15,0,Tech completed
151,0,TechResearched,4,255,15,0,Tech completed
151,1,TechResearched,6,255,14,0,Tech completed
153,0,UnitProduced,4,255,1,0,Unit produced
154,0,UnitProduced,1,255,1,0,Unit produced
155,0,TechResearched,0,255,15,0,Tech completed
156,0,UnitProduced,1,255,1,0,Unit produced
156,1,UnitProduced,3,255,1,0,Unit produced
156,2,UnitProduced,5,255,1,0,Unit produced
157,0,UnitKilled,5,255,1,0,Unit lost
160,0,UnitProduced,1,255,1,0,Unit produced
160,1,TechResearched,5,255,15,0,Tech completed
162,0,TechResearched,2,255,16,0,Tech completed
163,0,UnitProduced,2,255,1,0,Unit produced
163,1,UnitProduced,7,255,1,0,Unit produced
165,0,TechResearched,1,255,17,0,Tech completed
165,1,UnitProduced,1,255,1,0,Unit produced
165,2,TechResearched,3,255,16,0,Tech completed
167,0,UnitProduced,1,255,1,0,Unit produced
168,0,UnitProduced,2,255,1,0,Unit produced
168,1,TechResearched,7,255,15,0,Tech completed
171,0,TechResearched,6,255,15,0,Tech completed
171,1,UnitProduced,7,255,1,0,Unit produced
173,0,UnitProduced,7,255,1,0,Unit produced
175,0,UnitProduced,1,255,1,0,Unit produced
176,0,TechResearched,4,255,16,0,Tech completed
177,0,TechResearched,2,255,17,0,Tech completed
181,0,UnitProduced,2,255,1,0,Unit produced
182,0,TechResearched,1,255,18,0,Tech completed
184,0,TechResearched,0,255,16,0,Tech completed
184,1,TechResearched,1,255,19,0,Tech completed
184,2,UnitProduced,1,255,1,0,Unit produced
184,3,UnitProduced,7,255,1,0,Unit produced
187,0,TechResearched,1,255,20,0,Tech completed
187,1,TechResearched,3,255,17,0,Tech completed
188,0,UnitProduced,1,255,1,0,Unit produced
188,1,UnitProduced,5,255,1,0,Unit produced
189,0,UnitKilled,5,255,1,0,Unit lost
190,0,UnitProduced,1,255,1,0,Unit produced
190,1,TechResearched,4,255,17,0,Tech completed
191,0,WarDeclared,0,1,0,0,War declared
